count	reward_sum	squared_reward_sum	length
569	-56.043816160477746	10014.097281261824	204
570	-88.1762090401027	10004.385723416328	170
571	-69.1280697665211	10011.985187857508	224
572	-3.3462136976671104	10038.580004280499	359
573	-25.37019433491031	10028.367504350084	268
574	-21.747496366878792	10029.906641252564	294
575	-17.2433552545791	10027.129958228255	321
576	11.606039731972544	10039.886960456732	392
577	58.72941693309218	10065.102851549722	496
578	-73.91023331560015	10010.122411294149	184
579	-48.34767269030864	10015.879368397946	242
580	-89.4475169302794	10005.80325035189	171
581	-39.65616649481746	10021.239112616	244
582	-79.70862451990197	10004.765155308285	162
583	-1.2627448546596156	10041.689349161163	324
584	-50.5049204953762	12.156934009831756	2000
585	-71.389869599658	10009.763678450403	197
586	-37.61960817864467	10024.19352146725	224
587	-76.96593631096971	10006.292195679203	143
588	-47.895102248142365	10015.587720591393	270
589	4.643324436284587	10041.40645564232	363
590	-66.45345120335494	10010.513964026659	162
591	-62.64838560361981	10012.08952962832	172
592	-50.032095133907696	10016.4440063523	221
593	-54.70769054332342	10015.15253838351	205
594	-18.86613971640564	10032.438511492805	264
595	-24.27658663973476	10027.600060786663	276
596	-89.3753612573224	10004.92883701713	202
597	-6.018796608326312	10037.905612043334	305
598	-72.21646150843029	10009.066234642954	138
599	-79.61382218776271	10006.03019612534	142
600	-82.20969643132126	10004.742992766833	159
601	-45.83654776311468	10018.177066834347	232
602	-30.184108731695304	10026.845746171237	240
603	-88.17851982951512	10005.103259883592	136
604	67.74993041284154	10068.338641851913	489
605	-88.42810478249713	10004.86581634957	171
606	-90.10648237526394	10004.831923437605	143
607	-4.778582243398347	10038.529190146925	308
608	-53.39022174485328	10016.468962343657	201
609	-23.452697378420027	10028.094675463413	270
610	-73.1602917628129	10007.875981889643	144
611	-3.0864217940461174	10033.957046557303	330
612	-69.45897408777219	10009.49702398787	270
613	-25.044899257845344	10033.951764494774	230
614	-72.61077781796052	10007.996694771196	144
615	-77.3628336286124	10006.350085375761	150
616	-49.82662042084413	10015.74119055922	234
617	-57.22572367045933	10013.460410967202	209
618	24.658068533198076	10045.247790671241	424
619	-79.82351943575568	10005.903303567025	145
620	-82.58516799908713	10004.673831489099	141
621	-69.54588049072385	10008.940407965643	167
622	-6.514161874310375	10031.841176873228	350
623	-27.826737070068077	10025.866160228525	300
624	38.75138235096361	10052.15801483548	469
625	37.61736838207236	10051.96197162131	474
626	-83.55325727425046	10004.063870612266	179
627	-41.50723108416376	10020.61936996921	238
628	-80.29259362513697	10004.98425959245	135
629	-87.45011091228403	10004.52665882677	174
630	-55.76999584796111	10016.396320244392	179
631	36.80095656086817	10057.98809947138	411
632	-24.96360699593785	10026.510223902063	287
633	-79.16022767973195	10005.844243426116	149
634	-42.93332203225974	10015.580228049981	358
635	47.696062100987575	10051.02653547841	545
636	-7.100454103518288	10034.894315337888	316
637	-74.90927981057159	10007.42371723066	146
638	-65.06872214047573	10013.003655316157	182
639	-52.77128367422484	10019.011977902297	215
640	-74.58657264134342	10007.710481637863	150
641	27.403716581285565	10043.798295520844	442
642	6.347657655533169	10038.895775541285	372
643	-1.713455464421287	10034.200432516496	388
644	45.998004268681285	10052.510218514426	491
645	-70.38370335660035	10007.916433870356	253
646	17.230988269132638	10044.96614437316	374
647	-57.78365083598261	10012.417168718675	217
648	26.108185715704963	10040.735741517408	506
649	-10.695733946920313	10033.2232334689	357
650	-82.51759202351792	10004.868401096264	148
651	-53.08365171550224	10016.809016653606	243
652	5.944315485698766	10041.93685486508	399
653	-65.5189401126318	10012.833317544864	170
654	-56.13932126712218	10016.705737451592	179
655	-59.72740147629099	10012.610867141902	201
656	-16.063328783728664	10031.034172252068	318
657	109.71370069621597	10075.982141519318	705
658	-87.50243201653443	10004.100856833553	182
659	85.46194561101711	10074.423456137112	546
660	-89.59972783055196	10004.153602774104	162
661	71.59960760824737	10071.540855965288	690
